"","other","Saprotroph","Ectomycorrhizal","Wood_Saprotroph","Animal_Pathogen","Plant_Pathogen"
"SRR1502337",0.0864811133200795,0.671968190854871,0.201789264413519,0.0377733598409543,0.00099403578528827,0.00099403578528827
"SRR1502338",0.209741550695825,0.470178926441352,0.215705765407555,0.102385685884692,0.00099403578528827,0.00099403578528827
"SRR1502339",0.0725646123260437,0.301192842942346,0.518886679920477,0.102385685884692,0.00099403578528827,0.00397614314115308
"SRR1502340",0.137176938369781,0.42544731610338,0.312127236580517,0.0984095427435388,0.0168986083499006,0.0099403578528827
"SRR1502341",0.102385685884692,0.119284294234592,0.708747514910537,0.0646123260437376,0.00099403578528827,0.00397614314115308
"SRR1502342",0.141153081510934,0.218687872763419,0.579522862823062,0.0546719681908549,0.00198807157057654,0.00397614314115308
"SRR1502343",0.107355864811133,0.305168986083499,0.531809145129225,0.0536779324055666,0.00099403578528827,0.00099403578528827
"SRR1502391",0.0715705765407555,0.166003976143141,0.743538767395626,0.0119284294234592,0.00298210735586481,0.00397614314115308
"SRR1502399",0.102385685884692,0.173956262425447,0.637176938369781,0.0785288270377734,0.00099403578528827,0.00695825049701789
"SRR1502402",0.122266401590457,0.141153081510934,0.665009940357853,0.0666003976143141,0.00198807157057654,0.00298210735586481
"SRR1502406",0.122266401590457,0.210735586481113,0.590457256461233,0.0675944333996024,0.00795228628230616,0.00099403578528827
"SRR1502407",0.0815109343936382,0.234592445328032,0.644135188866799,0.0357852882703777,0.00099403578528827,0.00298210735586481
"SRR1502408",0.0487077534791252,0.281312127236581,0.358846918489066,0.291252485089463,0.00397614314115308,0.0159045725646123
"SRR1502409",0.141153081510934,0.0934393638170974,0.733598409542744,0.0238568588469185,0.00596421471172962,0.00198807157057654
"SRR1502410",0.0447316103379722,0.302186878727634,0.637176938369781,0.0139165009940358,0.00099403578528827,0.00099403578528827
"SRR1502412",0.0546719681908549,0.0755467196819085,0.853876739562624,0.0139165009940358,0.00099403578528827,0.00099403578528827
"SRR1502413",0.0248508946322068,0.123260437375746,0.840954274353877,0.00894632206759443,0.00099403578528827,0.00099403578528827
"SRR1502414",0.0666003976143141,0.192842942345924,0.703777335984095,0.0318091451292246,0.00397614314115308,0.00099403578528827
"SRR1502421",0.0497017892644135,0.10337972166998,0.825049701789264,0.0188866799204771,0.00099403578528827,0.00198807157057654
"SRR1502422",0.0427435387673956,0.0705765407554672,0.876739562624254,0.00099403578528827,0.00298210735586481,0.00596421471172962
"SRR1502423",0.0745526838966203,0.137176938369781,0.75844930417495,0.0208747514910537,0.00497017892644135,0.00397614314115308
"SRR1502424",0.240556660039761,0.284294234592445,0.432405566600398,0.025844930417495,0.00099403578528827,0.0159045725646123
"SRR1502428",0.0546719681908549,0.0805168986083499,0.852882703777336,0.00397614314115308,0.00099403578528827,0.00695825049701789
"SRR1502429",0.139165009940358,0.120278330019881,0.647117296222664,0.0666003976143141,0.00198807157057654,0.0248508946322068
"SRR1502430",0.0437375745526839,0.0516898608349901,0.878727634194831,0.0168986083499006,0.00795228628230616,0.00099403578528827
"SRR1502436",0.0437375745526839,0.0795228628230616,0.849900596421471,0.0248508946322068,0.00099403578528827,0.00099403578528827
"SRR1502437",0.099403578528827,0.073558648111332,0.795228628230616,0.0298210735586481,0.00099403578528827,0.00099403578528827
"SRR1502438",0.0884691848906561,0.1779324055666,0.720675944333996,0.0099403578528827,0.00099403578528827,0.00198807157057654
"SRR1502439",0.0347912524850895,0.10337972166998,0.855864811133201,0.00397614314115308,0.00099403578528827,0.00099403578528827
"SRR1502440",0.164015904572565,0.791252485089463,0.00298210735586481,0.0248508946322068,0.00397614314115308,0.0129224652087475
"SRR1502441",0.391650099403579,0.541749502982107,0.0178926441351889,0.0328031809145129,0.00099403578528827,0.0149105367793241
"SRR1502442",0.0606361829025845,0.102385685884692,0.808151093439364,0.0129224652087475,0.0149105367793241,0.00099403578528827
"SRR1502443",0.0318091451292246,0.203777335984095,0.743538767395626,0.0188866799204771,0.00099403578528827,0.00099403578528827
"SRR1502444",0.0596421471172962,0.280318091451292,0.636182902584493,0.0168986083499006,0.00099403578528827,0.00596421471172962
"SRR1502462",0.025844930417495,0.292246520874752,0.519880715705765,0.145129224652087,0.0099403578528827,0.00695825049701789
"SRR1502463",0.154075546719682,0.13817097415507,0.631212723658052,0.073558648111332,0.00099403578528827,0.00198807157057654
"SRR1502464",0.104373757455268,0.252485089463221,0.602385685884692,0.0288270377733598,0.00596421471172962,0.00596421471172962
"SRR1502465",0.00894632206759443,0.058648111332008,0.929423459244533,0.00099403578528827,0.00099403578528827,0.00099403578528827
"SRR1502466",0.0576540755467197,0.144135188866799,0.756461232604374,0.025844930417495,0.0149105367793241,0.00099403578528827
"SRR1502467",0.0725646123260437,0.0944333996023857,0.81013916500994,0.0119284294234592,0.00497017892644135,0.00596421471172962
"SRR1502468",0.0208747514910537,0.105367793240557,0.832007952286282,0.0377733598409543,0.00298210735586481,0.00099403578528827
"SRR1502469",0.0149105367793241,0.124254473161034,0.803180914512923,0.0357852882703777,0.0208747514910537,0.00099403578528827
"SRR1502470",0.0675944333996024,0.203777335984095,0.68389662027833,0.036779324055666,0.00099403578528827,0.00695825049701789
"SRR1502471",0.0198807157057654,0.0328031809145129,0.938369781312127,0.00695825049701789,0.00099403578528827,0.00099403578528827
"SRR1502472",0.0536779324055666,0.359840954274354,0.533797216699801,0.0407554671968191,0.00497017892644135,0.00695825049701789
"SRR1502473",0.036779324055666,0.0745526838966203,0.820079522862823,0.0318091451292246,0.0188866799204771,0.0178926441351889
"SRR1502474",0.0467196819085487,0.106361829025845,0.812127236580517,0.00497017892644135,0.0208747514910537,0.00894632206759443
"SRR1502475",0.0437375745526839,0.0636182902584493,0.84493041749503,0.0238568588469185,0.010934393638171,0.0129224652087475
"SRR1502476",0.120278330019881,0.160039761431412,0.686878727634195,0.0288270377733598,0.00298210735586481,0.00099403578528827
"SRR1502477",0.0308151093439364,0.0914512922465209,0.86779324055666,0.00695825049701789,0.00198807157057654,0.00099403578528827
"SRR1502478",0.0238568588469185,0.125248508946322,0.802186878727634,0.0318091451292246,0.00397614314115308,0.0129224652087475
"SRR1502479",0.0288270377733598,0.121272365805169,0.761431411530815,0.0805168986083499,0.00099403578528827,0.00695825049701789
"SRR1502481",0.0516898608349901,0.665009940357853,0.0914512922465209,0.169980119284294,0.00894632206759443,0.0129224652087475
"SRR1502482",0.152087475149105,0.725646123260437,0.0596421471172962,0.0457256461232604,0.00894632206759443,0.00795228628230616
"SRR1502483",0.131212723658052,0.720675944333996,0.0407554671968191,0.0874751491053678,0.0188866799204771,0.00099403578528827
"SRR1502485",0.295228628230616,0.482107355864811,0.117296222664016,0.0834990059642147,0.00099403578528827,0.0208747514910537
"SRR1502486",0.25844930417495,0.635188866799205,0.0337972166998012,0.0546719681908549,0.00397614314115308,0.0139165009940358
"SRR1502487",0.323061630218688,0.379721669980119,0.123260437375746,0.134194831013916,0.0119284294234592,0.0278330019880716
"SRR1502488",0.144135188866799,0.266401590457256,0.436381709741551,0.12624254473161,0.00099403578528827,0.025844930417495
"SRR1502494",0.0546719681908549,0.058648111332008,0.834990059642147,0.0337972166998012,0.00099403578528827,0.0168986083499006
"SRR1502495",0.0825049701789264,0.0387673956262425,0.862823061630219,0.0139165009940358,0.00099403578528827,0.00099403578528827
"SRR1502512",0.0815109343936382,0.365805168986084,0.435387673956262,0.106361829025845,0.00298210735586481,0.00795228628230616
"SRR1502513",0.0516898608349901,0.41351888667992,0.506958250497018,0.0218687872763419,0.00198807157057654,0.00397614314115308
"SRR1502544",0.0755467196819085,0.281312127236581,0.0188866799204771,0.349900596421471,0.00397614314115308,0.27037773359841
"SRR1502545",0.10934393638171,0.600397614314115,0.0228628230616302,0.171968190854871,0.0228628230616302,0.0725646123260437
"SRR1502548",0.234592445328032,0.369781312127237,0.272365805168986,0.0467196819085487,0.0685884691848907,0.00795228628230616
"SRR1502549",0.170974155069582,0.421471172962227,0.136182902584493,0.250497017892644,0.0149105367793241,0.00596421471172962
"SRR1502550",0.0556660039761431,0.282306163021869,0.0208747514910537,0.518886679920477,0.0178926441351889,0.104373757455268
"SRR1502551",0.0775347912524851,0.346918489065606,0.392644135188867,0.13220675944334,0.0188866799204771,0.0318091451292246
"SRR1502552",0.0675944333996024,0.195825049701789,0.692842942345924,0.0288270377733598,0.00397614314115308,0.010934393638171
"SRR1502553",0.284294234592445,0.618290258449304,0.0616302186878728,0.0218687872763419,0.00497017892644135,0.00894632206759443
"SRR1502554",0.154075546719682,0.302186878727634,0.0536779324055666,0.407554671968191,0.0646123260437376,0.0178926441351889
"SRR1502555",0.240556660039761,0.156063618290258,0.515904572564612,0.0666003976143141,0.0099403578528827,0.010934393638171
"SRR1502556",0.18986083499006,0.0606361829025845,0.70675944333996,0.0397614314115308,0.00099403578528827,0.00198807157057654
"SRR1502557",0.115308151093439,0.335984095427435,0.506958250497018,0.0387673956262425,0.00198807157057654,0.00099403578528827
"SRR1502558",0.167992047713718,0.0934393638170974,0.0407554671968191,0.68986083499006,0.00695825049701789,0.00099403578528827
"SRR1502559",0.159045725646123,0.375745526838966,0.430417495029821,0.0308151093439364,0.00099403578528827,0.00298210735586481
"SRR1502560",0.216699801192843,0.541749502982107,0.223658051689861,0.0119284294234592,0.00497017892644135,0.00099403578528827
"SRR1502561",0.331013916500994,0.319085487077535,0.3220675944334,0.0238568588469185,0.00198807157057654,0.00198807157057654
"SRR1502562",0.172962226640159,0.123260437375746,0.474155069582505,0.20675944333996,0.0129224652087475,0.0099403578528827
"SRR1502563",0.13220675944334,0.137176938369781,0.544731610337972,0.159045725646123,0.0188866799204771,0.00795228628230616
"SRR1502564",0.0298210735586481,0.24155069582505,0.604373757455268,0.122266401590457,0.00099403578528827,0.00099403578528827
"SRR1502565",0.0268389662027833,0.0656063618290258,0.872763419483101,0.0298210735586481,0.00198807157057654,0.00298210735586481
"SRR1502566",0.117296222664016,0.137176938369781,0.685884691848907,0.0497017892644135,0.00298210735586481,0.00695825049701789
"SRR1502567",0.0556660039761431,0.0695825049701789,0.856858846918489,0.0119284294234592,0.00099403578528827,0.00497017892644135
"SRR1502568",0.0904572564612326,0.180914512922465,0.670974155069582,0.0437375745526839,0.00099403578528827,0.0129224652087475
"SRR1502569",0.0944333996023857,0.13220675944334,0.698807157057654,0.0705765407554672,0.00099403578528827,0.00298210735586481
"SRR1502570",0.12624254473161,0.22962226640159,0.591451292246521,0.047713717693837,0.00099403578528827,0.00397614314115308
"SRR1502571",0.129224652087475,0.411530815109344,0.299204771371769,0.115308151093439,0.0278330019880716,0.0168986083499006
"SRR1502572",0.205765407554672,0.350894632206759,0.0914512922465209,0.324055666003976,0.0228628230616302,0.00497017892644135
"SRR1502573",0.34493041749503,0.624254473161034,0.0119284294234592,0.0159045725646123,0.00099403578528827,0.00198807157057654
"SRR1502574",0.214711729622266,0.488071570576541,0.0526838966202783,0.159045725646123,0.0457256461232604,0.0397614314115308
"SRR1502575",0.318091451292247,0.503976143141153,0.0984095427435388,0.073558648111332,0.00099403578528827,0.00497017892644135
"SRR1502576",0.279324055666004,0.455268389662028,0.209741550695825,0.0526838966202783,0.00099403578528827,0.00198807157057654
"SRR1502577",0.112326043737575,0.299204771371769,0.55765407554672,0.0238568588469185,0.00596421471172962,0.00099403578528827
"SRR1502578",0.129224652087475,0.491053677932406,0.335984095427435,0.0417495029821074,0.00099403578528827,0.00099403578528827
"SRR1502581",0.303180914512922,0.112326043737575,0.558648111332008,0.0139165009940358,0.00099403578528827,0.010934393638171
"SRR1502587",0.141153081510934,0.167992047713718,0.667992047713718,0.0208747514910537,0.00099403578528827,0.00099403578528827
"SRR1502588",0.095427435387674,0.174950298210736,0.556660039761431,0.154075546719682,0.00298210735586481,0.0159045725646123
"SRR1502589",0.251491053677932,0.359840954274354,0.365805168986084,0.0168986083499006,0.00099403578528827,0.00497017892644135
"SRR1502590",0.0536779324055666,0.214711729622266,0.695825049701789,0.0337972166998012,0.00099403578528827,0.00099403578528827
"SRR1502596",0.0934393638170974,0.757455268389662,0.0974155069582505,0.0467196819085487,0.00099403578528827,0.00397614314115308
"SRR1502597",0.0745526838966203,0.445328031809145,0.42544731610338,0.0467196819085487,0.00099403578528827,0.00695825049701789
"SRR1502617",0.105367793240557,0.397614314115308,0.283300198807157,0.0268389662027833,0.00099403578528827,0.185884691848907
"SRR1502618",0.0815109343936382,0.393638170974155,0.476143141153081,0.0397614314115308,0.00397614314115308,0.00497017892644135
"SRR1502619",0.062624254473161,0.646123260437376,0.252485089463221,0.0308151093439364,0.00099403578528827,0.00695825049701789
"SRR1502626",0.0854870775347912,0.47713717693837,0.382703777335984,0.0487077534791252,0.00397614314115308,0.00198807157057654
"SRR1502627",0.0347912524850895,0.514910536779324,0.39662027833002,0.0328031809145129,0.00099403578528827,0.0198807157057654
"SRR1502628",0.0487077534791252,0.678926441351889,0.254473161033797,0.0159045725646123,0.00099403578528827,0.00099403578528827
"SRR1502637",0.114314115308151,0.145129224652087,0.709741550695825,0.0288270377733598,0.00099403578528827,0.00099403578528827
"SRR1502638",0.234592445328032,0.20675944333996,0.52286282306163,0.0308151093439364,0.00397614314115308,0.00099403578528827
"SRR1502639",0.118290258449304,0.164015904572565,0.607355864811133,0.084493041749503,0.0139165009940358,0.0119284294234592
"SRR1502640",0.0755467196819085,0.228628230616302,0.634194831013916,0.0457256461232604,0.0099403578528827,0.00596421471172962
"SRR1502641",0.0685884691848907,0.194831013916501,0.666998011928429,0.0506958250497018,0.010934393638171,0.00795228628230616
"SRR1502642",0.0516898608349901,0.203777335984095,0.672962226640159,0.0516898608349901,0.00397614314115308,0.0159045725646123
"SRR1502643",0.168986083499006,0.210735586481113,0.452286282306163,0.157057654075547,0.00596421471172962,0.00497017892644135
"SRR1502644",0.146123260437376,0.195825049701789,0.564612326043738,0.0745526838966203,0.00795228628230616,0.010934393638171
"SRR1502654",0.099403578528827,0.0497017892644135,0.824055666003976,0.0248508946322068,0.00099403578528827,0.00099403578528827
"SRR1502655",0.0139165009940358,0.10337972166998,0.879721669980119,0.00099403578528827,0.00099403578528827,0.00099403578528827
"SRR1502656",0.0576540755467197,0.0874751491053678,0.826043737574553,0.0139165009940358,0.00099403578528827,0.0139165009940358
"SRR1502657",0.0815109343936382,0.226640159045726,0.60337972166998,0.0725646123260437,0.00695825049701789,0.00894632206759443
"SRR1502658",0.0188866799204771,0.13817097415507,0.805168986083499,0.0288270377733598,0.00695825049701789,0.00198807157057654
"SRR1502659",0.278330019880716,0.362823061630219,0.263419483101392,0.0248508946322068,0.0675944333996024,0.00298210735586481
"SRR1502667",0.128230616302187,0.405566600397614,0.457256461232604,0.00695825049701789,0.00099403578528827,0.00099403578528827
"SRR1502671",0.047713717693837,0.356858846918489,0.587475149105368,0.00596421471172962,0.00099403578528827,0.00099403578528827
"SRR1502672",0.129224652087475,0.28727634194831,0.570576540755467,0.00894632206759443,0.00099403578528827,0.00298210735586481
"SRR1502673",0.0139165009940358,0.197813121272366,0.743538767395626,0.0427435387673956,0.00099403578528827,0.00099403578528827
"SRR1502674",0.0755467196819085,0.141153081510934,0.757455268389662,0.0238568588469185,0.00099403578528827,0.00099403578528827
