"";"other";"acidobacteria";"actinobacteria";"bacteroidetes";"chloroflexi";"firmicutes";"gemmatimonadetes";"nitrospirae";"planctomycetes";"proteobacteria";"verrucomicrobia"
"BART_001-M-1-6-20140619";0.0638904060044809;0.24660572096596;0.119509811866733;0.0486959578470682;0.0305815660388906;0.0177997344150209;0.0195047581308641;0.00770330724134412;0.021120877145819;0.373344800795386;0.0512430595484328
"BART_001-M-7-5-20140619";0.0638018363438393;0.246175335352096;0.119298769866819;0.0488911173203617;0.0305560420845438;0.0178457242432716;0.0195778053906288;0.0077382442044861;0.0211555863687747;0.373718262625784;0.0512412761993945
"BART_001-O-1-6-20140619";0.0638613651964727;0.246715785177453;0.119327116047327;0.0487732151534282;0.0305242928399152;0.0178299934960777;0.0195619623059149;0.00770463265970317;0.0211421666869413;0.373328542764355;0.051230927672412
"BART_006-M-3-26-20140619";0.0646565439011455;0.240623333796873;0.129058238966027;0.0481556973410263;0.0319067712607098;0.0171539962657571;0.017691627706996;0.00738434337691224;0.0206991904535303;0.370915740273187;0.0517545166578359
"BART_006-M-33-3-20140619";0.0646172377507951;0.240122604567697;0.129154479192037;0.0483114530895846;0.0318735737256778;0.0171565490037248;0.0177336724831721;0.00739519755415612;0.0206763448126185;0.371144185099818;0.0518147027207185
"BART_006-O-33-3-20140619";0.0646693536248398;0.239684741086857;0.129372522873648;0.0483279482030079;0.0318839122923063;0.0171528494834739;0.0177262793704315;0.00743469768777497;0.0206561691027754;0.371255005682292;0.0518365205925933
"BART_028-M-33-4-20140619";0.0643235100981453;0.283991226991633;0.101838650295091;0.0442426211338441;0.0267780310737341;0.0172696433993299;0.0208016982121247;0.00712532088750325;0.0212854728870405;0.362433086161498;0.0499107388600561
"CPER_001-M-22-32-20140812";0.0470675128246279;0.0616430682259;0.286585898837839;0.0937876606694955;0.0550768336768629;0.0224993973123398;0.0185990972874642;0.0109079590946028;0.0203257530517133;0.340466596291487;0.0430402227276677
"CPER_001-M-30-37-20140812";0.054609561364232;0.08862989552179;0.281365323673248;0.0770496980582139;0.0505026054524199;0.0196716930982198;0.0166355875694412;0.00834008185645301;0.0209361900414476;0.336563376260178;0.0456959871043564
"CPER_001-M-7-0-20140812";0.0508199782538282;0.0741735771734343;0.284332461253756;0.0852336366219892;0.0528383531654823;0.0210802382828418;0.0176176401284322;0.00955592831944712;0.0206714268107185;0.339199001103094;0.0444777588869767
"CPER_002-M-10-34-20140812";0.0557099205289673;0.0932095200650478;0.280253880920406;0.0748896392722558;0.0497840594049985;0.0192822168034069;0.0163773508148878;0.00801951976115593;0.0210023433704169;0.335436824042854;0.0460347250156023
"CPER_002-M-25-6-20140812";0.0556644490480537;0.092841680329945;0.280625051014957;0.0750387777203552;0.04977658797345;0.0192787317513918;0.0163984498045954;0.00804411014733735;0.0209817500816251;0.335333963824715;0.0460164483035736
"CPER_002-M-9-4-20140812";0.0569331334482717;0.09851895959768;0.278865710494344;0.0724517349407463;0.0489823071601421;0.0188340414952611;0.0160558760906595;0.007689683323201;0.0210191005835043;0.334260873989526;0.0463885788766635
"CPER_003-M-15-7-20140812";0.0526944368241982;0.0809161818051174;0.283189431181314;0.0812139204015795;0.0516451424900083;0.0203345467850111;0.017147964332839;0.00895849987703024;0.0208006069178278;0.337998087912605;0.04510118147247
"CPER_003-M-33-11-20140812";0.0551174423504202;0.0907618359488691;0.280801785908882;0.0760604179666457;0.0501498218581854;0.0194665087028858;0.0165064857240785;0.0081964761296396;0.02097121313182;0.33611007883737;0.0458579334412039
"CPER_004-M-0-30-20140812";0.0494501329518289;0.0693883330280043;0.285315661790254;0.0883033299898011;0.0536781758673603;0.0216067367679998;0.0179712271987727;0.0100265545246529;0.0205777748944319;0.339731289426881;0.0439507835600128
"CPER_004-M-16-7-20140812";0.051275593009098;0.07565808241291;0.28399220726357;0.0843212650881893;0.0525452997711507;0.0208907305100532;0.0175073606712356;0.00943419634019758;0.0206671799806581;0.339073952551635;0.0446341324013027
"CPER_004-M-23-38-20140812";0.0526117014366628;0.0808102203577453;0.283335661960967;0.0812088717660568;0.0517191625651772;0.0203868292345185;0.017172179900877;0.00893970805442843;0.0208348948688408;0.337918919292078;0.0450618505626474
"DSNY_001-M-1-6-20140813";0.0502068419526695;0.332845518835639;0.107575931228498;0.0320679076833861;0.030531014713541;0.0168193571194259;0.0202143785638041;0.00422367288054973;0.0353809176592238;0.325468647216441;0.044665812146822
"DSNY_001-M-29-37-20140701";0.0504035329949167;0.34104032368534;0.106200784637632;0.0311933562183863;0.0299202852881006;0.0164383419724091;0.0197841965017447;0.00406565251523033;0.0350601653420257;0.321490767672038;0.0444025931721758
"DSNY_001-M-30-37-20140909";0.0504009480602573;0.341881354573631;0.106159072075674;0.0310140504554751;0.0298439833881706;0.0164164755381895;0.0197547101110579;0.00405853668387641;0.0350530622699261;0.321034669434654;0.0443831374090878
"DSNY_001-M-7-0-20140909";0.0503900928385054;0.34156881459828;0.106183397421503;0.0310845611662887;0.0299057899328335;0.0164219294891471;0.0197543711540432;0.00406500964504774;0.0351026152131748;0.321129252452957;0.0443941660882195
"DSNY_001-M-7-5-20140813";0.0502488632947954;0.334287501041749;0.107471192522059;0.0318966929506505;0.0304294834892546;0.0167415529246119;0.020155414035939;0.00417788428476302;0.0353373331192541;0.324667981567413;0.0445861007695111
"DSNY_001-M-9-11-20140701";0.0503973257477299;0.341678970428484;0.106068181449452;0.0310627450516694;0.029892536721205;0.0164145618071183;0.019749909346448;0.00405697146933085;0.0350233435560738;0.321265547392424;0.0443899070300651
"DSNY_001-M-9-17-20140813";0.0505773385205041;0.350544954311823;0.104779639958596;0.0299986768641591;0.0292720488020387;0.0159950193274187;0.0192714870217612;0.00388583725957813;0.034827561044607;0.316750280481905;0.0440971564076098
"DSNY_002-M-10-34-20140910";0.0507526012338988;0.36424325149998;0.102412508515625;0.0285589984958436;0.0282630664784464;0.0153268267922873;0.018588168826606;0.00366332013833721;0.0342419212522428;0.310253165657289;0.0436961711094439
"DSNY_002-M-11-0-20140813";0.0507799189714186;0.363171817351309;0.102580401283928;0.0286799733501491;0.0283479480600579;0.0153710211429091;0.0186457038903704;0.0036799435235948;0.0342655229561265;0.310749838044734;0.0437279114254019
"DSNY_002-M-27-36-20140813";0.0509006897946528;0.368534225235558;0.1017078992811;0.0280751977125255;0.0279842957287285;0.0151397592517382;0.0183869800570227;0.00358184486960566;0.0341129274298488;0.308009454650797;0.0435667259884227
"DSNY_002-M-30-5-20140813";0.0508564912523714;0.367847143312527;0.101789781648014;0.0281172780176636;0.0280693679146618;0.015179134904652;0.0184043503902169;0.00359371564081707;0.0341658759373168;0.308406635197642;0.0435702257841165
"DSNY_002-M-9-4-20140910";0.0508087978405078;0.365119269844702;0.102335725087981;0.0284804875155552;0.0282511944925503;0.0152907818721034;0.0185774967990008;0.00364744431849907;0.0342804476640289;0.309560471074024;0.043647883491047
"DSNY_003-M-1-7-20140813";0.0508731059691578;0.346590780020076;0.109108145813614;0.0300080559724475;0.0298580106729612;0.0157824457762933;0.0186305371518912;0.00383623403949841;0.0344784308121925;0.316468242187478;0.0443660115843896
"DSNY_003-M-3-26-20140813";0.050962502927503;0.353527561963991;0.108366999792777;0.0291567428892201;0.0295388468338869;0.015383576207985;0.0182582912057274;0.00370081136582923;0.034275534088719;0.312740934331143;0.0440881983932178
"DSNY_004-M-21-38-20140813";0.051196383932338;0.396736110826056;0.096906938753419;0.0252178286869469;0.026085237764063;0.0138788052341977;0.0169936365178042;0.00315284031107312;0.0329652497390265;0.294288399482386;0.04257856875269
"DSNY_004-M-33-4-20140814";0.0511067734627049;0.3898207280052;0.0981323463258174;0.0258859400618443;0.0265604035227482;0.0141902376071319;0.0173408452249748;0.00324761328799867;0.0333359685942147;0.297557097278015;0.0428220466293499
"DSNY_005-M-24-40-20140818";0.0505065194345086;0.346862080247806;0.105289820450062;0.0304260498669777;0.0295092560536716;0.0161320467497919;0.0194694578015599;0.00395506983382395;0.0349190056252822;0.318674939954806;0.0442557539817109
"DSNY_005-M-33-2-20140814";0.0501470156018675;0.329480122116149;0.108248790616215;0.0324601461784849;0.0308077604750662;0.0170320002086217;0.0204057477672539;0.00428139833405188;0.0355614378269458;0.326849673142977;0.0447259077323682
"DSNY_009-M-17-34-20140701";0.0508796026499953;0.368645135963683;0.101667394478855;0.028042442229005;0.0279695041362994;0.015119251725718;0.0183720206700908;0.00357895792620382;0.0340865975526505;0.308096171503108;0.0435429211643917
"DSNY_009-M-2-0-20140813";0.0508931063040034;0.369591098678187;0.101395020024031;0.0279524987749183;0.0279080515389337;0.0150951000532519;0.0182972602091086;0.00357399676369643;0.0340058519698254;0.307752385251604;0.0435356304324405
"DSNY_009-M-29-2-20140701";0.050845159829122;0.368492345188846;0.101707663342009;0.0280571545850117;0.028036678986114;0.0151421175233007;0.018366342519429;0.00357579251964827;0.0341564325412762;0.308075308914951;0.0435450040502916
"DSNY_009-M-33-11-20140910";0.0508711720474999;0.368328837877131;0.101680621325887;0.0280920734607601;0.0279872138530825;0.0151214659755791;0.0183787953445207;0.00358847816715739;0.0340556459575039;0.308281393480446;0.043614302510432
"DSNY_009-M-8-11-20140813";0.0508801881739595;0.368319383257743;0.101717858797964;0.0280721828339543;0.0279858168622179;0.0151415931068506;0.0183951168960894;0.0035855638967814;0.0340785300071326;0.308274483919479;0.0435492822478281
"DSNY_016-M-0-30-20140910";0.0501538964372904;0.329877305986563;0.108094133547037;0.0324858340779051;0.0307753189839668;0.0169999989913505;0.0203794158261939;0.0042836014513983;0.0354643864591758;0.326765381416304;0.0447207268228163
"DSNY_016-M-12-7-20140701";0.0501225348633366;0.330176673485149;0.108044289752045;0.0324338539837635;0.0307329900724151;0.0169579463152204;0.0203779413600817;0.00428341384537455;0.0354726237907028;0.326686034678107;0.0447116978538046
"DSNY_016-M-16-7-20140910";0.0501091913123172;0.330461918994805;0.10797948469249;0.0323726163352879;0.0307193396026204;0.0169555931118111;0.0203637630625796;0.00427292184481322;0.0354678193613534;0.326612701873823;0.0446846498080987
"DSNY_016-M-3-37-20140813";0.0501756709343636;0.329635634172783;0.10812489530896;0.0324489072609166;0.0307284279211009;0.0169664343891244;0.0203922268138563;0.00428310173420941;0.0354593028656423;0.327025490756633;0.0447599078424112
"DSNY_016-M-35-24-20140701";0.0500857101542072;0.329883054960458;0.108231098819074;0.0324431295658533;0.0307880977121763;0.0169980103904196;0.0204099700386955;0.00427245848095043;0.0355501636954796;0.326668220329461;0.044670085853225
"DSNY_016-M-36-16-20140813";0.0500981373783429;0.327190968066779;0.10855281991573;0.0327465049051801;0.0309397198855334;0.0171004033051873;0.0205213507732847;0.0043261253916842;0.0355646187466905;0.328156887139716;0.0448024644918715
"DSNY_016-M-5-26-20140701";0.0501337795648616;0.329712616101974;0.108157640730252;0.0324888476537241;0.0307427709561554;0.0169954922945633;0.0203892138409198;0.00427920913166608;0.0355054799547723;0.326880691301914;0.0447142584691978
"DSNY_016-M-6-12-20140813";0.0498351495701683;0.317737871988238;0.110232994124262;0.0339055791151746;0.0316570298442726;0.0176075117850441;0.0210613729308723;0.00451477117293656;0.0359294091726082;0.332471303222695;0.0450470070737284
"DSNY_043-M-18-37-20140814";0.0496750801471255;0.311620932074728;0.111152975858215;0.0346648071266942;0.032143152384745;0.0179451010725452;0.0214066710155058;0.00464682784579723;0.0361048534672772;0.335457481480351;0.0451821175270154
"DSNY_043-M-2-27-20140814";0.0483170192501576;0.273097168648911;0.117448139993676;0.0400673743041443;0.0351196067554596;0.0201079796355401;0.0236603137865463;0.00555699830667819;0.0372805063027161;0.35340861036963;0.045936282646542
"DSNY_043-M-33-17-20140814";0.0502324429054068;0.332703258139314;0.107703107912757;0.0320762415649372;0.0304902757851024;0.016827492911039;0.0202381757064248;0.00421944927332133;0.0353993594853911;0.325435915098725;0.0446742812175811
"HARV_001-M-14-7-20140812";0.0618189428506844;0.274575945916341;0.114706135646821;0.0441182006917893;0.0276034394746789;0.016786269830376;0.0207032504335568;0.00666024008589332;0.0229400139062234;0.359602956325579;0.0504846048380567
"HARV_001-M-15-1-20140812";0.0617864232458534;0.275255970135283;0.114222563161871;0.0440489841221489;0.0275994221170004;0.0167852111794683;0.0207326653907768;0.00664683445239534;0.022991721051207;0.359522517444466;0.0504076876995294
"HARV_001-M-30-37-20140715";0.0617556578881563;0.275061526019294;0.114262914091116;0.0441006624486003;0.0275070995260752;0.0168143150840347;0.0207793121561978;0.00666996508900262;0.022937182267734;0.35966849299893;0.05044287243086
"HARV_001-M-39-16-20140812";0.061779291740662;0.274896655379599;0.114239148708716;0.0441194051304124;0.0274635270867199;0.0167886288317028;0.020787558623851;0.00670005475460821;0.0229253678310021;0.359814080806629;0.050486281106098
"HARV_001-M-7-0-20140715";0.0617750711902919;0.274469405297901;0.114938673217324;0.0440353151577762;0.0276285060056328;0.0167785469338324;0.0206872393771961;0.00666711429582804;0.0229303747892335;0.359607849128951;0.0504819046060329
"HARV_001-O-14-7-20140812";0.061760178235232;0.274777214161953;0.114541810764524;0.0440703396502882;0.0275395127160915;0.0167846612317756;0.0207193108295498;0.00666679057866372;0.022948911044414;0.359717439909448;0.0504738308780609
"HARV_001-O-15-1-20140812";0.0617670986710826;0.274706293343695;0.114557470708176;0.0441141467576682;0.027574933978284;0.0168222811812282;0.0207145796713809;0.00666741396408506;0.0229510916771927;0.359698288278261;0.0504264017689463
"HARV_002-M-24-40-20140716";0.0623500942307171;0.260931134005029;0.127466537807551;0.0446203566288739;0.0295681655103102;0.0163151175714962;0.0187404970700543;0.00653974933830067;0.0224876546365379;0.359783126056299;0.0511975671448298
"HARV_002-O-24-40-20140716";0.0623639724831454;0.26077640803798;0.127932923487606;0.0445756045831932;0.0295383070632886;0.0162568968434099;0.0186570716399981;0.00653259333116406;0.0223935561769778;0.359711534129491;0.0512611322237463
"HARV_002-O-33-2-20140716";0.0623525024595241;0.260430747567116;0.127731047438508;0.0447238382332322;0.0295528350126462;0.01633230382967;0.0187532458497525;0.00655820811732311;0.0224188660515731;0.359841094282923;0.0513053111577321
"HARV_002-O-4-9-20140716";0.0623896639284913;0.260999756509809;0.127947305561164;0.044535460510527;0.02948303588764;0.0162615763133429;0.0186954216388982;0.00651507270778756;0.022406855028392;0.359501375004364;0.0512644769095836
"HARV_004-M-10-34-20140715";0.0632212878996014;0.229437194344301;0.160496719320985;0.0455534527198913;0.0340389073917345;0.0152109503169636;0.0148136350941312;0.00624693056140694;0.0211561417380809;0.357107506758906;0.0527172738539974
"HARV_004-M-19-1-20140812";0.0632148180929648;0.229930735078422;0.160565521894151;0.0454826946517649;0.0340880934624674;0.0152004796077166;0.0148012776822385;0.00622360806799791;0.0211904126258791;0.356612606170243;0.0526897526661549
"HARV_004-M-25-6-20140715";0.0632003955789374;0.22959210721377;0.160530554986755;0.0455583621492738;0.0340817504541723;0.0152262922896189;0.0148226850192299;0.00624618135054598;0.0212110583857493;0.356903366407614;0.0526272461643337
"HARV_004-M-3-28-20140812";0.0632166646399771;0.229268547455052;0.160552296808835;0.0455907965609714;0.0340821456424257;0.015227058632264;0.0147925801962697;0.00625713672074117;0.0211574222425459;0.357125554111722;0.0527297969891969
"HARV_004-M-9-34-20140812";0.0632385611379213;0.229574707012595;0.160581774840181;0.0455102288716857;0.0341104405915693;0.0152314926988287;0.0147994201919545;0.00623247201162604;0.0212128485484126;0.35687854493909;0.0526295091561356
"HARV_004-M-9-4-20140715";0.0632080673958461;0.229586028191735;0.160377840532322;0.0455479016729308;0.0340395162939939;0.0152009917780638;0.0147906997959684;0.00624504159144778;0.0211378047355371;0.357136389845884;0.0527297181662714
"HARV_004-O-10-34-20140715";0.0632042544455437;0.229789115793391;0.160640946286386;0.0454700420366745;0.0341260961989257;0.0151767845359522;0.0147695863393986;0.0062213770791696;0.0212283667473003;0.356714096172607;0.0526593343646515
"HARV_004-O-19-1-20140812";0.0632179960403004;0.229880773724449;0.160320586227762;0.0454588013818801;0.0340635069131528;0.0152201127183256;0.0147975924588788;0.00623130305423697;0.0212052978211476;0.356933342295855;0.0526706873640117
"HARV_004-O-25-6-20140715";0.0631808724740682;0.229910214319548;0.160493581422333;0.0454439102010537;0.0340060667759217;0.0151659141549721;0.014801826668652;0.00623924537998328;0.0211792863366356;0.356878191017423;0.0527008912494091
"HARV_004-O-3-28-20140812";0.063236582161042;0.229489538830503;0.160845587576495;0.0454719107028803;0.0340975754220264;0.0151667242135211;0.0147518879672142;0.00622950826719991;0.0211377434505872;0.356862035935862;0.0527109054726693
"HARV_004-O-9-34-20140812";0.0632210836079398;0.22981141526813;0.16074527795441;0.0454068272436484;0.0340932810990481;0.0151881853670818;0.0147602718773842;0.00620763711173149;0.0212027783065185;0.356707821114474;0.0526554210496337
"HARV_010-M-2-0-20140715";0.0613740735350004;0.27988257340667;0.109928906187203;0.0439452730012403;0.026834769796674;0.0170383298465881;0.0216972184164268;0.00674917949789239;0.0231353218595197;0.359345854579522;0.0500684998732637
"HARV_010-M-39-30-20140715";0.0613592238198484;0.279041190456387;0.110344082055099;0.0440441289965747;0.0269148500706192;0.0170259081661956;0.0216488856753682;0.00673618323466281;0.0231440094936037;0.359657408611873;0.0500841294197687
"HARV_010-M-8-11-20140715";0.0613402663339224;0.278997787121751;0.110541653573271;0.0440301229391633;0.0269575088767244;0.0170331698974483;0.0216422275084526;0.00673620226205512;0.0231721458727283;0.359446661129673;0.05010225448481
"HARV_010-O-2-0-20140715";0.0614036641628688;0.27874747441262;0.110554487925868;0.0440588212610372;0.0269687264030336;0.017035764027438;0.0215726222828423;0.00676623613361472;0.0231107656703026;0.359651042396092;0.0501303953242826
"HARV_010-O-39-30-20140715";0.0613762214387782;0.278803331783121;0.110105442734604;0.0440950206866137;0.0269047186964027;0.0170821942524131;0.0216900567559008;0.0067769381224716;0.0231445681367954;0.359899173793056;0.0501223335998442
"HARV_010-O-8-11-20140715";0.0613578847289031;0.278360212968687;0.110480360637617;0.0441016503092882;0.026998885655205;0.0170691804467583;0.0216721153174161;0.0067723512161242;0.0231581243822742;0.359907357724444;0.0501218766132827
"HARV_013-M-0-13-20140812";0.0616890350856818;0.275261686235324;0.113586524379025;0.0441059838591717;0.0274797381192106;0.0168683363275621;0.0209246984683093;0.00667987350661224;0.023022244462577;0.35998365559641;0.0503982239601173
"HARV_013-M-14-6-20140812";0.061674905179751;0.27499219240199;0.113881725056527;0.0441373009485827;0.0274737195988697;0.0168662677616779;0.0208731345588343;0.00669302704508371;0.0229623473712967;0.36000334607205;0.0504420340053374
"HARV_013-M-15-7-20140717";0.061631534949678;0.275442970219829;0.11370841291801;0.0441111365259277;0.0274970433173216;0.0168719345489719;0.020952788583992;0.00668447460498934;0.0229776137321115;0.359717861463244;0.0504042291359247
"HARV_013-M-28-3-20140812";0.061669642171234;0.274865228646591;0.113820654111391;0.044176223034703;0.0275280073792478;0.0168514198459433;0.0209207748840333;0.00670042762670219;0.0229837849508782;0.360061564982025;0.050422272367251
"HARV_013-M-4-7-20140717";0.0616753521914373;0.275023675351242;0.113438671674506;0.0442534701506839;0.0274017001017393;0.0169051285073754;0.0210307973100142;0.00672314006620299;0.0229788981216525;0.360125967110353;0.0504431994147937
"HARV_013-O-0-13-20140812";0.0617032664628565;0.275069250845184;0.113778472394613;0.0441773715545389;0.0274565555156912;0.0168663079758641;0.0209621287847751;0.00668482144247848;0.022987304331887;0.359905152207543;0.0504093684845686
"HARV_013-O-14-6-20140812";0.0616705005160741;0.275268110601781;0.113507207694442;0.0441882964409056;0.0274650205781753;0.0169263484664866;0.0210119799225398;0.0066982758362287;0.0230308833482781;0.359832635183413;0.050400741411676
"HARV_013-O-15-7-20140717";0.0617142487596891;0.274986100732433;0.113790655343703;0.0441417290660645;0.0274664708110439;0.0168859165350608;0.0209352409540049;0.00669732304634798;0.0229783246527311;0.359960975754613;0.0504430143443093
"HARV_013-O-28-3-20140812";0.0616368539064426;0.275230894749234;0.113734344501991;0.0441437814810126;0.0274742795190258;0.01684726495384;0.0209630648472388;0.0066926593401354;0.0230217735592352;0.359824248580636;0.0504308345612092
"HARV_013-O-33-11-20140716";0.0616540423490431;0.27534150002162;0.113092789261725;0.0441968783214774;0.0274262950257297;0.016915621769447;0.021024595088209;0.00674147497740374;0.0229970770043454;0.360230575637147;0.0503791505438526
"HARV_016-M-0-30-20140715";0.0619553041678445;0.278827416447057;0.114663460988141;0.0433153052188259;0.0273054080231747;0.0165671734477745;0.0205872828496804;0.00654275660131066;0.0228188846697553;0.357050939336875;0.0503660682495612
"HARV_016-M-16-7-20140715";0.0618753051196196;0.279583769709755;0.113702118376206;0.0433525759257376;0.0272387670901865;0.0165806914739041;0.0206538892333707;0.00654165324900159;0.022862491139105;0.357272005682296;0.050336733000817
"HARV_016-O-0-30-20140715";0.0619178755255568;0.279446045875387;0.114726886361097;0.0433127220095067;0.0273131568183273;0.016519190882425;0.020570523048169;0.00650076482455624;0.0228658040408967;0.356533944638636;0.0502930859754427
"HARV_016-O-16-7-20140715";0.0618416686603541;0.279499562426635;0.114760702117028;0.0432481115070344;0.027265823151244;0.0165440676970875;0.0204996557482934;0.00650180004538227;0.0228588576358832;0.35672784322222;0.0502519077888383
