"","other","Mortierellomycota","Basidiomycota","Mucoromycota","Ascomycota"
"BART_001",0.182045752455556,0.123246395332222,0.410037709066667,0.08655652574,0.198113626622222
"BART_004",0.0331156797144444,0.0799032416822222,0.5844350425,0.0192538268952222,0.283292210211111
"BART_006",0.0580927046666667,0.0548325096044444,0.711350959,0.0428206231322222,0.132903197244444
"CPER_001",0.0266163277533333,0.105198688137778,0.104921576055556,0.0130877708078889,0.750175642888889
"CPER_002",0.0263925163,0.107930661477778,0.106127011336667,0.0131876206713333,0.746362185
"CPER_003",0.0271810879866667,0.131633898422222,0.254644280566667,0.0133532357206667,0.573187493777778
"CPER_004",0.0229194248222222,0.0684160266055556,0.0774519206155556,0.0117181435564444,0.819494480888889
"CPER_007",0.0325587761822222,0.282519661634444,0.1459674595699,0.0137103315149038,0.525243765614444
"CPER_047",0.0362378672055556,0.351077751382333,0.198145619557556,0.01484971827521,0.399689035815556
"DSNY_001",0.122820753555556,0.0542114081688889,0.415317176666667,0.0517218706111111,0.3559287926
"DSNY_002",0.160602311777778,0.0739247005844444,0.247664717688889,0.0544407978133333,0.463367471611111
"DSNY_003",0.0741644444777778,0.0399655757745556,0.661129785644444,0.0303603117537778,0.194379872955556
"DSNY_004",0.00371218839711111,0.00581492177609222,0.00492519945086,0.00294824123980878,0.982599450666667
"DSNY_009",0.0458969384444444,0.0213161424911111,0.0477949238422222,0.02246700136,0.862524994111111
"DSNY_016",0.0476766708111111,0.0224275753011111,0.154014817266667,0.0208609496955556,0.755019986222222
"DSNY_043",0.223862238933333,0.067459671334,0.115424968735556,0.068321431814,0.524931689957778
"HARV_001",0.0154386269355556,0.0199434408211111,0.869836967333333,0.0254132273011111,0.0693677379888889
"HARV_002",0.0118486117666667,0.0257592607093333,0.895037288555556,0.0409442839106667,0.0264105523157778
"HARV_004",0.0340613304666667,0.0535187904888889,0.775272623444444,0.0219962145955556,0.115151044122222
"HARV_010",0.0312981194466667,0.0455546296555556,0.781884841777778,0.0397285668888889,0.101533846488889
"HARV_013",0.0437220020333333,0.0552366136188889,0.733171264444444,0.0250842054433333,0.142785917911111
"HARV_016",0.0529137003555556,0.0429663392166667,0.339977428455556,0.0278050240346667,0.536337502477778
"HARV_020",0.0962875375666667,0.0709149120444444,0.465129703111111,0.0372506719611111,0.330417179566667
"HARV_021",0.0302338408166667,0.0422130646844444,0.609606504,0.0438612393566667,0.274085347766667
"HARV_033",0.0481861818222222,0.0373386510755556,0.662442490444444,0.0265896897144444,0.225442981633333
"HARV_034",0.00318450213633333,0.0179343660506333,0.225183191555556,0.00803495715088889,0.745662980333333
"HARV_035",0.0954666774,0.0651962658763333,0.351763227337778,0.0474661176842,0.440107713177778
"JERC_001",0.0315297283844444,0.0538804043133333,0.515604032777778,0.0396075747344444,0.359378264122222
"JERC_002",0.0184181711955556,0.0192591027377778,0.760473212555556,0.0839374567222222,0.117912051688889
"JERC_003",0.0126247346322222,0.0332924199566667,0.724027857888889,0.0480980063944444,0.1819569767
"JERC_005",0.00942137451444445,0.02046898508,0.771551440666667,0.0990996225111111,0.0994585675111111
"JERC_006",0.0123021610877778,0.0178105853733333,0.734625522111111,0.0521009828666667,0.183160750411111
"JERC_008",0.117862009455556,0.0557490771674444,0.453477350866667,0.0783486769155556,0.294562879961111
"JERC_047",0.0776365795666667,0.0647659009748889,0.386812764755556,0.145595160294444,0.325189595211111
"JERC_048",0.0276835056166667,0.0327106103081111,0.618248211444444,0.0928501232121111,0.228507551933333
"JERC_049",0.0184156299826667,0.0303527610085222,0.749899867111111,0.0584800703994111,0.142851667821444
"ORNL_001",0.06360916139,0.0881130352728,0.162417816816733,0.0295914685880811,0.656268523574444
"ORNL_003",0.00436239129866667,0.00987282421640778,0.770308462777778,0.00598994945755667,0.209466366611111
"ORNL_021",0.0924170703933333,0.0969061017026889,0.157087478225389,0.0324838841479378,0.621105462978889
"ORNL_029",0.0232050144767778,0.0963196660407333,0.48666312947,0.0184771549676767,0.375335025094444
"ORNL_031",0.0402588753044444,0.0987509411092256,0.308245233690222,0.0163646505008122,0.536380292885556
"ORNL_037",0.0448957379333333,0.0243406889312111,0.825638730952444,0.0322712568132327,0.0728535884421333
"ORNL_043",0.00366011196044444,0.0113925285061482,0.926068347777778,0.0493266126589667,0.00955240107626667
"OSBS_001",0.0300409918666667,0.1708413447,0.541691861222222,0.02226741376,0.235158389533333
"OSBS_002",0.0485148546444444,0.0257360636644444,0.703364186,0.0781159114555556,0.144268983411111
"OSBS_003",0.00664945987555556,0.0116671064313333,0.893752347111111,0.0222298557177778,0.0657012319222222
"OSBS_022",0.00245523139722222,0.00255279993661111,0.0152879684266667,0.00304635844252222,0.976657638111111
"SCBI_002",0.0681184218444444,0.153691909233333,0.489566269222222,0.0324235133755556,0.256199892166667
"SCBI_003",0.0336738340888889,0.0933141136111111,0.716866973444444,0.0251957117555556,0.130949360211111
"SCBI_006",0.0347225662888889,0.115086907455556,0.387136371444444,0.0175571434444444,0.445497014333333
"SCBI_012",0.0456978869888889,0.110865034266667,0.332072760333333,0.0240985801666667,0.487265740333333
"SCBI_033",0.127691585733333,0.217371629222222,0.280175649077778,0.0445605257154444,0.330200609555556
"SCBI_045",0.124224251722222,0.158993013966667,0.255528268522222,0.0438460094544444,0.417408456244444
"STER_005",0.0224081277911111,0.181291712188889,0.101234789222222,0.0116206400346667,0.683444729111111
"STER_006",0.0447463422777778,0.143700562044444,0.213137651411111,0.0204507881011111,0.577964652111111
"STER_007",0.0192608239174444,0.327075609386667,0.236931259731111,0.00890192256783222,0.407830377577778
"STER_018",0.00830147006444444,0.1406121918,0.0821091772333333,0.00553043743414444,0.763446727777778
"STER_026",0.0254455855133333,0.0525602290322222,0.0819470421,0.0130579088182222,0.826989230666667
"STER_027",0.00410516956866667,0.0922516688333333,0.106673011455556,0.00347513371625556,0.793495021
"STER_028",0.0116348851111111,0.132134942822222,0.0545530230577778,0.00707622947888889,0.794600931444444
"STER_029",0.00839768483233333,0.146541209953778,0.14932607133,0.00466580107864678,0.691069239288889
"STER_031",0.00689052283277778,0.0165842271507889,0.0759363100236667,0.00386936432599556,0.896719579333333
"STER_033",0.0419539928888889,0.187989957455556,0.155284608788889,0.018552653507,0.596218791833333
"STER_034",0.0174318218977778,0.108256591895556,0.128199321896667,0.00927524379603333,0.736837015888889
"STER_035",0.0167975532244444,0.137382273977778,0.149395367944444,0.009512682411,0.686912117666667
"TALL_001",0.0958336489666667,0.0881699954444444,0.506443960222222,0.0614152059777778,0.248137190066667
"TALL_002",0.0404260622333333,0.0624011409888889,0.679032678,0.104709706222222,0.113430416377778
"TALL_003",0.0308085861655556,0.0305829344411111,0.729155378555556,0.0659995195377778,0.143453582777778
"TALL_004",0.0408240110222222,0.0451103715666667,0.607405082666667,0.121112027655556,0.185548510344444
"TALL_006",0.0393101486111111,0.0507916739622222,0.701321995111111,0.124604170777778,0.0839720120111111
"TALL_007",0.0263863167566667,0.04885626603,0.740579454888889,0.0645250956211111,0.119652865522222
"TALL_009",0.0137194543933333,0.0393101923533333,0.811884098888889,0.0905018813,0.0445843780733333
"TALL_044",0.00652043847222222,0.032004767991,0.611943588333333,0.181056000122222,0.168475210277778
"TALL_051",0.00538319845644444,0.014781407235,0.952632384777778,0.0154091643404778,0.0117938421116667
"TALL_054",0.0146340597522222,0.0145545855138889,0.823207962888889,0.0549799380766667,0.0926234549044444
"UNDE_001",0.188925496355556,0.101613462557778,0.42969045709,0.072904278057,0.206866306544444
"UNDE_006",0.0310875586911111,0.0297005206561111,0.772480236111111,0.0149962779291111,0.151735402622222
"UNDE_007",0.0721828810555556,0.0828032316075556,0.6332722027,0.0349495118947111,0.17679216397
"UNDE_008",0.0309384825933333,0.0544344077511111,0.774703124,0.0390811216622222,0.100842864061111
"UNDE_013",0.0516753789333333,0.0739084992577778,0.571591181888889,0.0263694401366667,0.276455494466667
"UNDE_014",0.0730775613777778,0.129826789309889,0.312061511262222,0.02849510361,0.456539038977778
"UNDE_017",0.1461673054,0.0875026278015556,0.607912943133333,0.0492653875195556,0.109151729364
"UNDE_019",0.0417473378455556,0.0808410315666667,0.636709904888889,0.0240582491636667,0.2166434755
"UNDE_027",0.0312041620677778,0.224739913633333,0.302669966688889,0.0163990196548889,0.4249869406
"UNDE_032",0.0214168403494444,0.084330889118,0.789209893815556,0.0101538695644733,0.0948885010735333
"UNDE_034",0.0222316116977778,0.10113262782,0.741597485777778,0.0179666851783333,0.117071590458889
"UNDE_035",0.00807311790555556,0.0179653790035556,0.848758800333333,0.0208359979424444,0.104366706866667
"UNDE_037",0.0144659222233333,0.0331884572666667,0.835697525888889,0.00849259988211111,0.108155501033333
"UNDE_043",0.188238624255556,0.115890864670556,0.479521365273333,0.0909795032004444,0.125369649082222
"UNDE_044",0.0242245267822222,0.075945108669,0.488487644,0.0119042487862222,0.399438470755556
"WOOD_001",0.0601282675555556,0.224794939122222,0.215658557222222,0.0247354244611111,0.474682817111111
"WOOD_002",0.0780241511077778,0.232012941843444,0.229678968589111,0.0284799940379144,0.431803941238967
"WOOD_003",0.0649470434111111,0.204661127188889,0.208541757355556,0.0259186967198889,0.495931379555556
"WOOD_005",0.0688315294888889,0.2672390974,0.215029175466667,0.0275356038253333,0.421364597944444
"WOOD_021",0.0964241015566667,0.217954849311367,0.193345916762778,0.0331330865140878,0.459142049060733
"WOOD_022",0.0793100950777778,0.150602999677778,0.108905957788889,0.0301201549793333,0.631060800033333
"WOOD_024",0.0531208228488889,0.10841237634,0.13167611582,0.028903094075,0.677887586544444
"WOOD_042",0.0563691863111111,0.265753139662222,0.237917349966667,0.0232932195711111,0.416667114233333
"WOOD_043",0.0632647428333333,0.291907228288889,0.189323223428889,0.0251256335546667,0.430379177155556
"WOOD_044",0.118945698611111,0.163584045667233,0.243949044442733,0.04038987976242,0.433131333468444
